tower_id,lat,lng,operator,signal_score,frequency_mhz,tx_power_dbm,height_m,zone,radio,range_m,samples,avg_signal_dbm,mcc,mnc,lac,cellid
OCI_404_86_28143,12.91,77.58,Vi,65,900,43,35,Jayanagar,GSM,1000,1,0,404,86,51013,28143
OCI_404_45_209409,12.91,77.58,Airtel,60,2100,43,30,Jayanagar,UMTS,1000,1,0,404,45,1012,209409
OCI_405_34_275492,12.91,77.58,Unknown,60,2100,43,30,Jayanagar,UMTS,1000,1,0,405,34,10004,275492
OCI_404_45_27486435,12.98,77.54,Airtel,60,2100,43,30,Rajajinagar,UMTS,1000,1,0,404,45,34192,27486435
OCI_405_803_11572,12.98,77.54,Unknown,65,900,43,35,Rajajinagar,GSM,1000,1,0,405,803,1111,11572
OCI_404_86_48853,12.98,77.54,Vi,65,900,43,35,Rajajinagar,GSM,1000,1,0,404,86,50038,48853
OCI_404_86_48851,12.98,77.55,Vi,65,900,43,35,Rajajinagar,GSM,1000,1,0,404,86,31603,48851
OCI_404_86_8482,12.98,77.55,Vi,65,900,43,35,Rajajinagar,GSM,1000,1,0,404,86,56007,8482
OCI_404_45_27487356,12.98,77.55,Airtel,60,2100,43,30,Rajajinagar,UMTS,1000,1,0,404,45,34191,27487356
OCI_404_45_8381,12.98,77.56,Airtel,65,900,43,35,Rajajinagar,GSM,1000,1,0,404,45,25111,8381
OCI_404_45_2433,12.98,77.56,Airtel,65,900,43,35,Rajajinagar,GSM,1000,1,0,404,45,25111,2433
OCI_404_86_20223,12.98,77.55,Vi,65,900,43,35,Rajajinagar,GSM,1000,1,0,404,86,56007,20223
OCI_404_71_44193,12.98,77.55,BSNL,65,900,43,35,Rajajinagar,GSM,1000,1,0,404,71,144,44193
OCI_404_71_20484574,12.98,77.55,BSNL,60,2100,43,30,Rajajinagar,UMTS,1000,1,0,404,71,3312,20484574
OCI_405_34_44703,12.98,77.55,Unknown,65,900,43,35,Rajajinagar,GSM,1000,1,0,405,34,17000,44703
OCI_404_44_3892,12.98,77.55,Unknown,65,900,43,35,Rajajinagar,GSM,1000,1,0,404,44,1321,3892
OCI_404_45_61964,12.98,77.55,Airtel,70,1800,46,30,Rajajinagar,LTE,1000,1,0,404,45,8540,61964
OCI_404_45_27471047,12.98,77.55,Airtel,60,2100,43,30,Rajajinagar,UMTS,1000,1,0,404,45,34193,27471047
OCI_404_45_27486436,12.98,77.54,Airtel,60,2100,43,30,Rajajinagar,UMTS,1000,1,0,404,45,34192,27486436
OCI_404_71_44211,12.98,77.55,BSNL,65,900,43,35,Rajajinagar,GSM,1000,1,0,404,71,144,44211
OCI_404_86_48852,12.98,77.55,Vi,65,900,43,35,Rajajinagar,GSM,1000,1,0,404,86,31603,48852
OCI_404_71_44102,12.98,77.55,BSNL,65,900,43,35,Rajajinagar,GSM,1000,1,0,404,71,144,44102
OCI_404_71_44103,12.98,77.55,BSNL,65,900,43,35,Rajajinagar,GSM,1000,1,0,404,71,144,44103
OCI_405_861_3617810,12.98,77.55,Jio,60,2100,43,30,Rajajinagar,UMTS,1000,1,0,405,861,1,3617810
OCI_405_861_3617808,12.98,77.55,Jio,60,2100,43,30,Rajajinagar,UMTS,1000,1,0,405,861,1,3617808
OCI_404_45_18651,12.98,77.54,Airtel,65,900,43,35,Rajajinagar,GSM,1000,1,0,404,45,2637,18651
OCI_405_34_207124,12.98,77.54,Unknown,60,2100,43,30,Rajajinagar,UMTS,1000,1,0,405,34,10003,207124
OCI_405_34_224103,12.98,77.54,Unknown,60,2100,43,30,Rajajinagar,UMTS,1000,1,0,405,34,10003,224103
OCI_405_34_10512,12.98,77.54,Unknown,65,900,43,35,Rajajinagar,GSM,1000,1,0,405,34,17000,10512
OCI_404_45_49666,12.98,77.54,Airtel,70,1800,46,30,Rajajinagar,LTE,1000,1,0,404,45,1096,49666
OCI_404_86_48851,12.98,77.54,Vi,65,900,43,35,Rajajinagar,GSM,1000,1,0,404,86,50038,48851
OCI_404_45_17242,12.98,77.54,Airtel,65,900,43,35,Rajajinagar,GSM,1000,1,0,404,45,26591,17242
OCI_404_45_26851,12.98,77.54,Airtel,65,900,43,35,Rajajinagar,GSM,1000,1,0,404,45,26591,26851
OCI_404_45_167948,12.91,77.6,Airtel,70,1800,46,30,BTM Layout,LTE,1000,1,0,404,45,1011,167948
OCI_405_34_30563,12.91,77.6,Unknown,65,900,43,35,BTM Layout,GSM,1000,1,0,405,34,13001,30563
OCI_404_45_12883,12.91,77.61,Airtel,65,900,43,35,BTM Layout,GSM,1000,1,0,404,45,25045,12883
OCI_405_861_21284,12.91,77.61,Jio,70,1800,46,30,BTM Layout,LTE,1000,1,0,405,861,19,21284
